Site,scode,rep,year,seasn,occasion,spid,species,indiv
5,s5,5d,2009,J,J09,91,Pristomyrmex fossulatus,1
5,s5,5d,2009,J,J09,93,Solenopsis sp. 1,20
5,s5,5d,2009,J,J09,122,Tetramorium sp. 5,1
5,s5,5d,2009,J,J09,124,Tetramorium sp. 8,4
5,s5,5d,2009,J,J09,128,Tetramorium sp. 43,7
5,s5,5d,2009,J,J09,131,Tetramorium sp. 45,3
5,s5,5d,2009,J,J09,103,Tetramorium fridgidum,2
5,s5,5c,2009,J,J09,143,Plectroctena mandibularis,3
5,s5,5a,2009,J,J09,113,Tetramorium sp. 18,1
5,s5,5a,2009,J,J09,114,Tetramorium sp. 25,1
5,s5,5a,2009,J,J09,119,Tetramorium sp. 40,1
5,s5,5a,2009,J,J09,101,Tetramorium bothae,12
5,s5,5a,2009,J,J09,103,Tetramorium fridgidum,8
4,s4,4c,2009,J,J09,46,Lepisiota sp. 10,19
4,s4,4c,2009,J,J09,93,Solenopsis sp. 1,8
4,s4,4c,2009,J,J09,113,Tetramorium sp. 18,3
4,s4,4c,2009,J,J09,114,Tetramorium sp. 25,3
4,s4,4c,2009,J,J09,102,Tetramorium frenchi,9
4,s4,4c,2009,J,J09,103,Tetramorium fridgidum,9
4,s4,4b,2009,J,J09,46,Lepisiota sp. 10,10
4,s4,4b,2009,J,J09,70,Monomorium taedium,2
4,s4,4a,2009,J,J09,70,Monomorium taedium,1
4,s4,4a,2009,J,J09,113,Tetramorium sp. 18,1
4,s4,4a,2009,J,J09,114,Tetramorium sp. 25,2
4,s4,4a,2009,J,J09,101,Tetramorium bothae,5
3,s3,3d,2009,J,J09,50,Lepisiota sp. 3,16
3,s3,3d,2009,J,J09,75,Pachycondyla peringueyi,1
3,s3,3d,2009,J,J09,114,Tetramorium sp. 25,5
3,s3,3c,2009,J,J09,50,Lepisiota sp. 3,13
3,s3,3c,2009,J,J09,61,Monomorium musicum,33
3,s3,3c,2009,J,J09,117,Tetramorium sp. 30,1
3,s3,3c,2009,J,J09,103,Tetramorium fridgidum,1
3,s3,3b,2009,J,J09,55,Lepisiota un05,2
3,s3,3b,2009,J,J09,76,Pachycondyla pumicosa,3
3,s3,3b,2009,J,J09,111,Tetramorium sp. 10,3
3,s3,3a,2009,J,J09,50,Lepisiota sp. 3,2
3,s3,3a,2009,J,J09,61,Monomorium musicum,11
2,s2,2d,2009,J,J09,111,Tetramorium sp. 10,37
2,s2,2c,2009,J,J09,111,Tetramorium sp. 10,1
2,s2,2c,2009,J,J09,125,Tetramorium un12,18
2,s2,2b,2009,J,J09,61,Monomorium musicum,6
2,s2,2b,2009,J,J09,125,Tetramorium un12,7
2,s2,2a,2009,J,J09,61,Monomorium musicum,1
2,s2,2a,2009,J,J09,111,Tetramorium sp. 10,29
1,s1,1d,2009,J,J09,111,Tetramorium sp. 10,8
1,s1,1c,2009,J,J09,111,Tetramorium sp. 10,1
1,s1,1a,2009,J,J09,111,Tetramorium sp. 10,1
1,s1,1a,2008,S,S08,125,Tetramorium un12,6
1,s1,1b,2008,S,S08,66,Monomorium sp. 3,2
1,s1,1d,2008,S,S08,26,Camponotus sp. 1,7
1,s1,1d,2008,S,S08,125,Tetramorium un12,11
2,s2,2b,2008,S,S08,31,Camponotus un10,6
2,s2,2b,2008,S,S08,134,Camponotus havilandi,1
2,s2,2b,2008,S,S08,55,Lepisiota un05,2
2,s2,2b,2008,S,S08,62,Monomorium sp. 1,3
2,s2,2b,2008,S,S08,75,Pachycondyla peringueyi,4
3,s3,3c,2008,S,S08,103,Tetramorium fridgidum,3
2,s2,2c,2008,S,S08,140,Camponotus irredux,1
2,s2,2c,2008,S,S08,62,Monomorium sp. 1,1
2,s2,2c,2008,S,S08,82,Pheidole sp. 1,1
2,s2,2c,2008,S,S08,111,Tetramorium sp. 10,1
2,s2,2c,2008,S,S08,117,Tetramorium sp. 30,1
4,s4,4a,2008,S,S08,31,Camponotus un10,12
4,s4,4a,2008,S,S08,134,Camponotus havilandi,3
4,s4,4a,2008,S,S08,45,Lepisiota sp. 1,50
4,s4,4a,2008,S,S08,59,Messor sp. 1,1
4,s4,4a,2008,S,S08,71,Monomorium un01,24
4,s4,4a,2008,S,S08,70,Monomorium taedium,1
4,s4,4a,2008,S,S08,85,Pheidole un01,22
4,s4,4a,2008,S,S08,113,Tetramorium sp. 18,3
4,s4,4a,2008,S,S08,101,Tetramorium bothae,21
4,s4,4a,2008,S,S08,103,Tetramorium fridgidum,1
4,s4,4b,2008,S,S08,30,Camponotus un01,7
4,s4,4b,2008,S,S08,140,Camponotus irredux,9
4,s4,4b,2008,S,S08,56,Leptogenys intermedia,4
4,s4,4b,2008,S,S08,136,Pachycondyla wroughtonii,1
4,s4,4b,2008,S,S08,101,Tetramorium bothae,7
4,s4,4c,2008,S,S08,30,Camponotus un01,7
4,s4,4c,2008,S,S08,31,Camponotus un10,6
4,s4,4c,2008,S,S08,54,Lepisiota un03,2
4,s4,4c,2008,S,S08,111,Tetramorium sp. 10,1
4,s4,4c,2008,S,S08,114,Tetramorium sp. 25,1
4,s4,4c,2008,S,S08,101,Tetramorium bothae,2
4,s4,4c,2008,S,S08,102,Tetramorium frenchi,2
4,s4,4d,2008,S,S08,45,Lepisiota sp. 1,1
5,s5,5b,2008,S,S08,39,Crematogaster un02,6
5,s5,5b,2008,S,S08,41,Crematogaster un04,1
5,s5,5b,2008,S,S08,45,Lepisiota sp. 1,3
5,s5,5b,2008,S,S08,46,Lepisiota sp. 10,1
5,s5,5b,2008,S,S08,54,Lepisiota un03,3
5,s5,5b,2008,S,S08,71,Monomorium un01,8
5,s5,5b,2008,S,S08,61,Monomorium musicum,4
5,s5,5b,2008,S,S08,83,Pheidole sp. 4,1
5,s5,5b,2008,S,S08,94,Solenopsis sp. 2,10
5,s5,5b,2008,S,S08,99,Technomyrmex sp. 2,1
5,s5,5d,2008,S,S08,140,Camponotus irredux,1
5,s5,5d,2008,S,S08,54,Lepisiota un03,2
5,s5,5d,2008,S,S08,101,Tetramorium bothae,2
